well_tag_number,drilling_method_code,date_added
107,OTHER,2021-12-13
108,OTHER,2021-12-13
109,OTHER,2021-12-13
110,OTHER,2021-12-13
111,OTHER,2021-12-13
112,OTHER,2021-12-13
114,OTHER,2021-12-13
115,UNK,2021-12-13
116,OTHER,2021-12-13
117,OTHER,2021-12-13
118,OTHER,2021-12-13
119,OTHER,2021-12-13
120,EXCAVATING,2021-12-13
121,OTHER,2021-12-13
122,OTHER,2021-12-13
123,OTHER,2021-12-13
125,OTHER,2021-12-13
127,AIR_ROTARY,2021-12-13
128,OTHER,2021-12-13
130,OTHER,2021-12-13
131,OTHER,2021-12-13
132,OTHER,2021-12-13
133,OTHER,2021-12-13
134,CABLE_TOOL,2021-12-13
135,OTHER,2021-12-13
137,OTHER,2021-12-13
138,OTHER,2021-12-13
139,OTHER,2021-12-13
140,OTHER,2021-12-13
141,OTHER,2021-12-13
142,OTHER,2021-12-13
145,OTHER,2021-12-13
146,OTHER,2021-12-13
148,OTHER,2021-12-13
149,OTHER,2021-12-13
150,OTHER,2021-12-13
152,OTHER,2021-12-13
153,OTHER,2021-12-13
154,OTHER,2021-12-13
155,OTHER,2021-12-13
156,OTHER,2021-12-13
157,OTHER,2021-12-13
158,OTHER,2021-12-13
160,OTHER,2021-12-13
161,OTHER,2021-12-13
162,UNK,2021-12-13
163,CABLE_TOOL,2021-12-13
164,OTHER,2021-12-13
165,OTHER,2021-12-13
166,OTHER,2021-12-13
167,OTHER,2021-12-13
168,OTHER,2021-12-13
170,OTHER,2021-12-13
171,OTHER,2021-12-13
172,UNK,2021-12-13
174,OTHER,2021-12-13
176,UNK,2021-12-13
177,OTHER,2021-12-13
178,OTHER,2021-12-13
179,OTHER,2021-12-13
180,OTHER,2021-12-13
183,OTHER,2021-12-13
184,OTHER,2021-12-13
185,OTHER,2021-12-13
186,OTHER,2021-12-13
187,EXCAVATING,2021-12-13
188,OTHER,2021-12-13
189,OTHER,2021-12-13
190,OTHER,2021-12-13
191,EXCAVATING,2021-12-13
192,OTHER,2021-12-13
193,OTHER,2021-12-13
194,OTHER,2021-12-13
195,CABLE_TOOL,2021-12-13
196,OTHER,2021-12-13
197,OTHER,2021-12-13
198,OTHER,2021-12-13
199,OTHER,2021-12-13
202,OTHER,2021-12-13
204,OTHER,2021-12-13
205,UNK,2021-12-13
206,OTHER,2021-12-13
208,OTHER,2021-12-13
209,OTHER,2021-12-13
210,UNK,2021-12-13
211,UNK,2021-12-13
212,OTHER,2021-12-13
213,OTHER,2021-12-13
214,OTHER,2021-12-13
215,CABLE_TOOL,2021-12-13
216,OTHER,2021-12-13
221,UNK,2021-12-13
225,UNK,2021-12-13
226,EXCAVATING,2021-12-13
227,OTHER,2021-12-13
228,OTHER,2021-12-13
229,UNK,2021-12-13
230,UNK,2021-12-13
231,OTHER,2021-12-13
232,UNK,2021-12-13
233,OTHER,2021-12-13
234,UNK,2021-12-13
236,UNK,2021-12-13
237,OTHER,2021-12-13
238,OTHER,2021-12-13
239,OTHER,2021-12-13
240,OTHER,2021-12-13
241,UNK,2021-12-13
244,OTHER,2021-12-13
245,OTHER,2021-12-13
246,OTHER,2021-12-13
248,OTHER,2021-12-13
249,OTHER,2021-12-13
250,OTHER,2021-12-13
251,CABLE_TOOL,2021-12-13
252,OTHER,2021-12-13
253,OTHER,2021-12-13
254,OTHER,2021-12-13
255,OTHER,2021-12-13
256,OTHER,2021-12-13
257,OTHER,2021-12-13
258,OTHER,2021-12-13
259,OTHER,2021-12-13
260,OTHER,2021-12-13
261,OTHER,2021-12-13
262,OTHER,2021-12-13
263,OTHER,2021-12-13
264,OTHER,2021-12-13
265,OTHER,2021-12-13
266,OTHER,2021-12-13
268,OTHER,2021-12-13
269,OTHER,2021-12-13
270,OTHER,2021-12-13
271,OTHER,2021-12-13
273,OTHER,2021-12-13
274,AIR_ROTARY,2021-12-13
275,OTHER,2021-12-13
276,OTHER,2021-12-13
277,OTHER,2021-12-13
278,OTHER,2021-12-13
279,OTHER,2021-12-13
280,OTHER,2021-12-13
281,OTHER,2021-12-13
282,OTHER,2021-12-13
283,OTHER,2021-12-13
284,OTHER,2021-12-13
285,UNK,2021-12-13
286,OTHER,2021-12-13
287,OTHER,2021-12-13
288,OTHER,2021-12-13
289,OTHER,2021-12-13
290,OTHER,2021-12-13
291,OTHER,2021-12-13
292,OTHER,2021-12-13
293,OTHER,2021-12-13
294,OTHER,2021-12-13
295,OTHER,2021-12-13
296,OTHER,2021-12-13
297,OTHER,2021-12-13
298,AIR_ROTARY,2021-12-13
299,OTHER,2021-12-13
300,OTHER,2021-12-13
301,OTHER,2021-12-13
302,OTHER,2021-12-13
303,OTHER,2021-12-13
304,OTHER,2021-12-13
305,OTHER,2021-12-13
306,AIR_ROTARY,2021-12-13
307,OTHER,2021-12-13
308,OTHER,2021-12-13
309,OTHER,2021-12-13
310,OTHER,2021-12-13
311,OTHER,2021-12-13
312,OTHER,2021-12-13
313,OTHER,2021-12-13
314,OTHER,2021-12-13
315,OTHER,2021-12-13
316,OTHER,2021-12-13
317,OTHER,2021-12-13
318,OTHER,2021-12-13
319,OTHER,2021-12-13
320,OTHER,2021-12-13
321,OTHER,2021-12-13
322,OTHER,2021-12-13
323,OTHER,2021-12-13
324,OTHER,2021-12-13
325,OTHER,2021-12-13
326,AIR_ROTARY,2021-12-13
327,OTHER,2021-12-13
328,UNK,2021-12-13
329,OTHER,2021-12-13
330,OTHER,2021-12-13
331,OTHER,2021-12-13
332,OTHER,2021-12-13
333,OTHER,2021-12-13
334,OTHER,2021-12-13
335,OTHER,2021-12-13
336,OTHER,2021-12-13
337,OTHER,2021-12-13
338,OTHER,2021-12-13
340,OTHER,2021-12-13
341,OTHER,2021-12-13
342,OTHER,2021-12-13
343,OTHER,2021-12-13
344,OTHER,2021-12-13
345,AIR_ROTARY,2021-12-13
346,UNK,2021-12-13
347,OTHER,2021-12-13
348,OTHER,2021-12-13
349,OTHER,2021-12-13
350,OTHER,2021-12-13
351,OTHER,2021-12-13
352,OTHER,2021-12-13
353,OTHER,2021-12-13
354,OTHER,2021-12-13
355,OTHER,2021-12-13
356,OTHER,2021-12-13
357,OTHER,2021-12-13
358,OTHER,2021-12-13
359,OTHER,2021-12-13
360,OTHER,2021-12-13
361,OTHER,2021-12-13
362,OTHER,2021-12-13
363,OTHER,2021-12-13
364,OTHER,2021-12-13
365,OTHER,2021-12-13
368,OTHER,2021-12-13
369,OTHER,2021-12-13
370,OTHER,2021-12-13
371,OTHER,2021-12-13
372,OTHER,2021-12-13
373,OTHER,2021-12-13
374,OTHER,2021-12-13
375,OTHER,2021-12-13
376,OTHER,2021-12-13
379,OTHER,2021-12-13
380,OTHER,2021-12-13
381,OTHER,2021-12-13
382,OTHER,2021-12-13
383,OTHER,2021-12-13
384,UNK,2021-12-13
385,OTHER,2021-12-13
386,OTHER,2021-12-13
387,OTHER,2021-12-13
388,OTHER,2021-12-13
389,OTHER,2021-12-13
390,OTHER,2021-12-13
391,OTHER,2021-12-13
392,OTHER,2021-12-13
393,OTHER,2021-12-13
394,OTHER,2021-12-13
395,OTHER,2021-12-13
397,OTHER,2021-12-13
398,OTHER,2021-12-13
399,OTHER,2021-12-13
400,OTHER,2021-12-13
401,OTHER,2021-12-13
402,OTHER,2021-12-13
403,OTHER,2021-12-13
404,OTHER,2021-12-13
405,OTHER,2021-12-13
406,OTHER,2021-12-13
407,OTHER,2021-12-13
408,OTHER,2021-12-13
409,OTHER,2021-12-13
410,OTHER,2021-12-13
411,OTHER,2021-12-13
412,OTHER,2021-12-13
413,OTHER,2021-12-13
414,OTHER,2021-12-13
415,OTHER,2021-12-13
416,OTHER,2021-12-13
417,OTHER,2021-12-13
418,OTHER,2021-12-13
419,OTHER,2021-12-13
420,OTHER,2021-12-13
421,UNK,2021-12-13
422,OTHER,2021-12-13
423,UNK,2021-12-13
424,UNK,2021-12-13
425,OTHER,2021-12-13
427,OTHER,2021-12-13
429,OTHER,2021-12-13
430,OTHER,2021-12-13
431,OTHER,2021-12-13
433,OTHER,2021-12-13
434,OTHER,2021-12-13
435,OTHER,2021-12-13
436,UNK,2021-12-13
437,CABLE_TOOL,2021-12-13
438,OTHER,2021-12-13
439,UNK,2021-12-13
440,OTHER,2021-12-13
441,OTHER,2021-12-13
442,OTHER,2021-12-13
443,OTHER,2021-12-13
444,OTHER,2021-12-13
445,OTHER,2021-12-13
446,EXCAVATING,2021-12-13
447,OTHER,2021-12-13
448,UNK,2021-12-13
449,OTHER,2021-12-13
450,OTHER,2021-12-13
451,OTHER,2021-12-13
452,OTHER,2021-12-13
453,OTHER,2021-12-13
454,OTHER,2021-12-13
455,OTHER,2021-12-13
457,OTHER,2021-12-13
458,EXCAVATING,2021-12-13
459,EXCAVATING,2021-12-13
460,OTHER,2021-12-13
461,OTHER,2021-12-13
462,OTHER,2021-12-13
463,OTHER,2021-12-13
464,OTHER,2021-12-13
465,EXCAVATING,2021-12-13
466,OTHER,2021-12-13
467,OTHER,2021-12-13
469,EXCAVATING,2021-12-13
470,OTHER,2021-12-13
471,OTHER,2021-12-13
472,EXCAVATING,2021-12-13
473,EXCAVATING,2021-12-13
476,OTHER,2021-12-13
477,OTHER,2021-12-13
478,OTHER,2021-12-13
479,OTHER,2021-12-13
480,OTHER,2021-12-13
481,OTHER,2021-12-13
482,OTHER,2021-12-13
483,OTHER,2021-12-13
484,OTHER,2021-12-13
485,OTHER,2021-12-13
487,OTHER,2021-12-13
488,OTHER,2021-12-13
489,OTHER,2021-12-13
490,UNK,2021-12-13
493,UNK,2021-12-13
494,OTHER,2021-12-13
496,UNK,2021-12-13
497,OTHER,2021-12-13
500,OTHER,2021-12-13
501,UNK,2021-12-13
502,OTHER,2021-12-13
504,OTHER,2021-12-13
505,OTHER,2021-12-13
506,OTHER,2021-12-13
507,OTHER,2021-12-13
508,OTHER,2021-12-13
509,OTHER,2021-12-13
510,OTHER,2021-12-13
511,OTHER,2021-12-13
513,EXCAVATING,2021-12-13
514,OTHER,2021-12-13
515,OTHER,2021-12-13
516,OTHER,2021-12-13
518,OTHER,2021-12-13
519,OTHER,2021-12-13
520,OTHER,2021-12-13
521,OTHER,2021-12-13
522,OTHER,2021-12-13
523,UNK,2021-12-13
524,OTHER,2021-12-13
528,OTHER,2021-12-13
529,OTHER,2021-12-13
530,UNK,2021-12-13
531,UNK,2021-12-13
532,UNK,2021-12-13
534,OTHER,2021-12-13
535,OTHER,2021-12-13
536,EXCAVATING,2021-12-13
537,OTHER,2021-12-13
538,OTHER,2021-12-13
539,OTHER,2021-12-13
540,UNK,2021-12-13
541,OTHER,2021-12-13
542,OTHER,2021-12-13
543,OTHER,2021-12-13
544,OTHER,2021-12-13
546,OTHER,2021-12-13
547,OTHER,2021-12-13
548,OTHER,2021-12-13
549,OTHER,2021-12-13
550,OTHER,2021-12-13
551,OTHER,2021-12-13
553,OTHER,2021-12-13
554,OTHER,2021-12-13
555,OTHER,2021-12-13
556,UNK,2021-12-13
557,OTHER,2021-12-13
558,OTHER,2021-12-13
559,OTHER,2021-12-13
560,OTHER,2021-12-13
561,OTHER,2021-12-13
562,EXCAVATING,2021-12-13
563,OTHER,2021-12-13
564,OTHER,2021-12-13
565,OTHER,2021-12-13
566,OTHER,2021-12-13
568,OTHER,2021-12-13
569,OTHER,2021-12-13
570,OTHER,2021-12-13
571,OTHER,2021-12-13
572,OTHER,2021-12-13
573,OTHER,2021-12-13
574,OTHER,2021-12-13
575,OTHER,2021-12-13
577,OTHER,2021-12-13
578,OTHER,2021-12-13
579,OTHER,2021-12-13
580,OTHER,2021-12-13
581,OTHER,2021-12-13
582,OTHER,2021-12-13
583,OTHER,2021-12-13
584,OTHER,2021-12-13
585,OTHER,2021-12-13
586,OTHER,2021-12-13
587,OTHER,2021-12-13
588,OTHER,2021-12-13
590,OTHER,2021-12-13
591,OTHER,2021-12-13
592,OTHER,2021-12-13
594,OTHER,2021-12-13
595,OTHER,2021-12-13
596,OTHER,2021-12-13
598,OTHER,2021-12-13
600,OTHER,2021-12-13
601,OTHER,2021-12-13
602,OTHER,2021-12-13
603,OTHER,2021-12-13
604,OTHER,2021-12-13
606,OTHER,2021-12-13
607,OTHER,2021-12-13
608,OTHER,2021-12-13
609,OTHER,2021-12-13
610,OTHER,2021-12-13
611,OTHER,2021-12-13
612,OTHER,2021-12-13
613,OTHER,2021-12-13
614,OTHER,2021-12-13
615,UNK,2021-12-13
616,OTHER,2021-12-13
617,OTHER,2021-12-13
618,OTHER,2021-12-13
619,OTHER,2021-12-13
620,OTHER,2021-12-13
621,OTHER,2021-12-13
622,OTHER,2021-12-13
623,OTHER,2021-12-13
624,OTHER,2021-12-13
626,UNK,2021-12-13
627,OTHER,2021-12-13
628,OTHER,2021-12-13
629,OTHER,2021-12-13
630,OTHER,2021-12-13
631,OTHER,2021-12-13
632,OTHER,2021-12-13
633,OTHER,2021-12-13
635,OTHER,2021-12-13
636,OTHER,2021-12-13
637,OTHER,2021-12-13
638,OTHER,2021-12-13
639,OTHER,2021-12-13
640,OTHER,2021-12-13
641,OTHER,2021-12-13
642,OTHER,2021-12-13
643,OTHER,2021-12-13
644,OTHER,2021-12-13
645,OTHER,2021-12-13
646,OTHER,2021-12-13
648,OTHER,2021-12-13
649,OTHER,2021-12-13
650,OTHER,2021-12-13
651,OTHER,2021-12-13
652,OTHER,2021-12-13
653,OTHER,2021-12-13
654,OTHER,2021-12-13
655,OTHER,2021-12-13
656,OTHER,2021-12-13
657,OTHER,2021-12-13
658,OTHER,2021-12-13
659,UNK,2021-12-13
660,OTHER,2021-12-13
661,OTHER,2021-12-13
662,OTHER,2021-12-13
663,OTHER,2021-12-13
664,OTHER,2021-12-13
665,OTHER,2021-12-13
666,OTHER,2021-12-13
667,EXCAVATING,2021-12-13
668,OTHER,2021-12-13
669,OTHER,2021-12-13
670,OTHER,2021-12-13
671,OTHER,2021-12-13
672,OTHER,2021-12-13
673,OTHER,2021-12-13
674,UNK,2021-12-13
675,OTHER,2021-12-13
676,OTHER,2021-12-13
677,OTHER,2021-12-13
678,UNK,2021-12-13
679,OTHER,2021-12-13
680,OTHER,2021-12-13
681,OTHER,2021-12-13
682,AIR_ROTARY,2021-12-13
683,OTHER,2021-12-13
684,OTHER,2021-12-13
685,OTHER,2021-12-13
686,OTHER,2021-12-13
687,EXCAVATING,2021-12-13
688,EXCAVATING,2021-12-13
689,EXCAVATING,2021-12-13
690,OTHER,2021-12-13
691,OTHER,2021-12-13
692,OTHER,2021-12-13
693,OTHER,2021-12-13
694,OTHER,2021-12-13
695,OTHER,2021-12-13
696,EXCAVATING,2021-12-13
697,OTHER,2021-12-13
698,OTHER,2021-12-13
699,OTHER,2021-12-13
700,OTHER,2021-12-13
701,OTHER,2021-12-13
703,OTHER,2021-12-13
704,OTHER,2021-12-13
705,OTHER,2021-12-13
706,OTHER,2021-12-13
707,OTHER,2021-12-13
708,OTHER,2021-12-13
709,OTHER,2021-12-13
710,OTHER,2021-12-13
712,OTHER,2021-12-13
713,OTHER,2021-12-13
714,OTHER,2021-12-13
715,OTHER,2021-12-13
716,OTHER,2021-12-13
717,OTHER,2021-12-13
718,OTHER,2021-12-13
719,OTHER,2021-12-13
720,OTHER,2021-12-13
721,OTHER,2021-12-13
722,EXCAVATING,2021-12-13
723,OTHER,2021-12-13
724,OTHER,2021-12-13
725,EXCAVATING,2021-12-13
726,OTHER,2021-12-13
727,OTHER,2021-12-13
728,OTHER,2021-12-13
729,OTHER,2021-12-13
730,OTHER,2021-12-13
731,OTHER,2021-12-13
732,OTHER,2021-12-13
733,OTHER,2021-12-13
734,OTHER,2021-12-13
735,OTHER,2021-12-13
736,OTHER,2021-12-13
737,EXCAVATING,2021-12-13
738,EXCAVATING,2021-12-13
739,OTHER,2021-12-13
741,OTHER,2021-12-13
742,OTHER,2021-12-13
743,EXCAVATING,2021-12-13
744,OTHER,2021-12-13
745,OTHER,2021-12-13
747,OTHER,2021-12-13
748,OTHER,2021-12-13
749,EXCAVATING,2021-12-13
750,EXCAVATING,2021-12-13
751,OTHER,2021-12-13
752,EXCAVATING,2021-12-13
753,EXCAVATING,2021-12-13
754,OTHER,2021-12-13
755,OTHER,2021-12-13
756,EXCAVATING,2021-12-13
757,OTHER,2021-12-13
758,EXCAVATING,2021-12-13
759,EXCAVATING,2021-12-13
760,EXCAVATING,2021-12-13
761,OTHER,2021-12-13
763,OTHER,2021-12-13
764,OTHER,2021-12-13
765,OTHER,2021-12-13
766,OTHER,2021-12-13
767,OTHER,2021-12-13
768,OTHER,2021-12-13
769,EXCAVATING,2021-12-13
770,OTHER,2021-12-13
771,OTHER,2021-12-13
772,OTHER,2021-12-13
773,OTHER,2021-12-13
774,AIR_ROTARY,2021-12-13
775,OTHER,2021-12-13
776,OTHER,2021-12-13
777,OTHER,2021-12-13
778,OTHER,2021-12-13
779,OTHER,2021-12-13
781,EXCAVATING,2021-12-13
782,OTHER,2021-12-13
783,CABLE_TOOL,2021-12-13
784,OTHER,2021-12-13
785,OTHER,2021-12-13
786,OTHER,2021-12-13
787,EXCAVATING,2021-12-13
788,OTHER,2021-12-13
789,OTHER,2021-12-13
791,OTHER,2021-12-13
792,OTHER,2021-12-13
793,OTHER,2021-12-13
794,OTHER,2021-12-13
795,OTHER,2021-12-13
796,OTHER,2021-12-13
797,OTHER,2021-12-13
798,OTHER,2021-12-13
799,OTHER,2021-12-13
800,OTHER,2021-12-13
801,OTHER,2021-12-13
804,OTHER,2021-12-13
806,OTHER,2021-12-13
807,UNK,2021-12-13
809,OTHER,2021-12-13
810,EXCAVATING,2021-12-13
811,OTHER,2021-12-13
812,OTHER,2021-12-13
813,AIR_ROTARY,2021-12-13
814,OTHER,2021-12-13
815,OTHER,2021-12-13
816,OTHER,2021-12-13
817,OTHER,2021-12-13
818,UNK,2021-12-13
819,OTHER,2021-12-13
821,OTHER,2021-12-13
822,OTHER,2021-12-13
824,OTHER,2021-12-13
825,OTHER,2021-12-13
826,OTHER,2021-12-13
827,OTHER,2021-12-13
828,UNK,2021-12-13
829,OTHER,2021-12-13
830,OTHER,2021-12-13
831,UNK,2021-12-13
832,UNK,2021-12-13
833,OTHER,2021-12-13
834,OTHER,2021-12-13
835,UNK,2021-12-13
836,OTHER,2021-12-13
837,OTHER,2021-12-13
838,OTHER,2021-12-13
839,OTHER,2021-12-13
840,OTHER,2021-12-13
841,OTHER,2021-12-13
843,OTHER,2021-12-13
844,UNK,2021-12-13
845,OTHER,2021-12-13
846,OTHER,2021-12-13
847,OTHER,2021-12-13
849,OTHER,2021-12-13
850,UNK,2021-12-13
851,OTHER,2021-12-13
852,OTHER,2021-12-13
853,OTHER,2021-12-13
854,OTHER,2021-12-13
856,UNK,2021-12-13
857,OTHER,2021-12-13
859,UNK,2021-12-13
860,AIR_ROTARY,2021-12-13
861,OTHER,2021-12-13
862,OTHER,2021-12-13
864,OTHER,2021-12-13
865,OTHER,2021-12-13
867,OTHER,2021-12-13
869,OTHER,2021-12-13
870,UNK,2021-12-13
871,OTHER,2021-12-13
872,OTHER,2021-12-13
874,OTHER,2021-12-13
876,OTHER,2021-12-13
877,OTHER,2021-12-13
878,OTHER,2021-12-13
879,CABLE_TOOL,2021-12-13
880,OTHER,2021-12-13
881,OTHER,2021-12-13
882,OTHER,2021-12-13
883,EXCAVATING,2021-12-13
884,UNK,2021-12-13
885,OTHER,2021-12-13
889,OTHER,2021-12-13
890,OTHER,2021-12-13
893,OTHER,2021-12-13
894,UNK,2021-12-13
896,OTHER,2021-12-13
897,OTHER,2021-12-13
898,OTHER,2021-12-13
900,OTHER,2021-12-13
901,OTHER,2021-12-13
902,OTHER,2021-12-13
903,OTHER,2021-12-13
904,OTHER,2021-12-13
905,OTHER,2021-12-13
906,OTHER,2021-12-13
907,OTHER,2021-12-13
908,OTHER,2021-12-13
910,UNK,2021-12-13
911,EXCAVATING,2021-12-13
912,UNK,2021-12-13
913,OTHER,2021-12-13
915,UNK,2021-12-13
917,EXCAVATING,2021-12-13
918,EXCAVATING,2021-12-13
919,EXCAVATING,2021-12-13
920,UNK,2021-12-13
921,OTHER,2021-12-13
922,EXCAVATING,2021-12-13
923,EXCAVATING,2021-12-13
924,EXCAVATING,2021-12-13
925,OTHER,2021-12-13
926,UNK,2021-12-13
928,OTHER,2021-12-13
929,OTHER,2021-12-13
931,OTHER,2021-12-13
932,OTHER,2021-12-13
933,OTHER,2021-12-13
935,OTHER,2021-12-13
937,OTHER,2021-12-13
938,OTHER,2021-12-13
939,OTHER,2021-12-13
941,EXCAVATING,2021-12-13
942,OTHER,2021-12-13
943,UNK,2021-12-13
946,OTHER,2021-12-13
947,OTHER,2021-12-13
948,OTHER,2021-12-13
950,OTHER,2021-12-13
951,OTHER,2021-12-13
952,OTHER,2021-12-13
953,OTHER,2021-12-13
954,OTHER,2021-12-13
955,OTHER,2021-12-13
956,OTHER,2021-12-13
959,OTHER,2021-12-13
960,OTHER,2021-12-13
961,OTHER,2021-12-13
962,UNK,2021-12-13
963,OTHER,2021-12-13
964,OTHER,2021-12-13
965,OTHER,2021-12-13
967,OTHER,2021-12-13
971,UNK,2021-12-13
973,OTHER,2021-12-13
975,OTHER,2021-12-13
976,OTHER,2021-12-13
978,OTHER,2021-12-13
980,OTHER,2021-12-13
981,OTHER,2021-12-13
982,OTHER,2021-12-13
984,OTHER,2021-12-13
985,OTHER,2021-12-13
986,OTHER,2021-12-13
988,OTHER,2021-12-13
991,OTHER,2021-12-13
992,OTHER,2021-12-13
993,OTHER,2021-12-13
994,OTHER,2021-12-13
996,OTHER,2021-12-13
1000,OTHER,2021-12-13
1001,OTHER,2021-12-13
1002,OTHER,2021-12-13
1003,OTHER,2021-12-13
1004,EXCAVATING,2021-12-13
1005,OTHER,2021-12-13
1006,EXCAVATING,2021-12-13
1007,EXCAVATING,2021-12-13
1008,OTHER,2021-12-13
1009,OTHER,2021-12-13
1010,OTHER,2021-12-13
1011,OTHER,2021-12-13
1012,EXCAVATING,2021-12-13
1013,OTHER,2021-12-13
1014,EXCAVATING,2021-12-13
1015,EXCAVATING,2021-12-13
1018,EXCAVATING,2021-12-13
1020,EXCAVATING,2021-12-13
1021,OTHER,2021-12-13
1022,OTHER,2021-12-13
1023,OTHER,2021-12-13
1024,EXCAVATING,2021-12-13
1025,EXCAVATING,2021-12-13
1026,EXCAVATING,2021-12-13
1027,OTHER,2021-12-13
1028,OTHER,2021-12-13
1029,OTHER,2021-12-13
1030,OTHER,2021-12-13
1031,OTHER,2021-12-13
1032,OTHER,2021-12-13
1033,OTHER,2021-12-13
1034,OTHER,2021-12-13
1035,OTHER,2021-12-13
1036,OTHER,2021-12-13
1037,OTHER,2021-12-13
1038,EXCAVATING,2021-12-13
1039,OTHER,2021-12-13
1040,OTHER,2021-12-13
1041,OTHER,2021-12-13
1042,OTHER,2021-12-13
1043,OTHER,2021-12-13
1044,OTHER,2021-12-13
1045,OTHER,2021-12-13
1046,OTHER,2021-12-13
1047,OTHER,2021-12-13
1048,OTHER,2021-12-13
1049,OTHER,2021-12-13
1050,OTHER,2021-12-13
1051,OTHER,2021-12-13
1052,OTHER,2021-12-13
1053,OTHER,2021-12-13
1054,OTHER,2021-12-13
1055,OTHER,2021-12-13
1056,OTHER,2021-12-13
1057,OTHER,2021-12-13
1058,OTHER,2021-12-13
1059,OTHER,2021-12-13
1060,CABLE_TOOL,2021-12-13
1061,OTHER,2021-12-13
1062,AIR_ROTARY,2021-12-13
1063,OTHER,2021-12-13
1064,CABLE_TOOL,2021-12-13
1065,OTHER,2021-12-13
1066,OTHER,2021-12-13
1067,OTHER,2021-12-13
1068,OTHER,2021-12-13
1069,CABLE_TOOL,2021-12-13
1070,OTHER,2021-12-13
1071,OTHER,2021-12-13
1072,OTHER,2021-12-13
1073,OTHER,2021-12-13
1074,OTHER,2021-12-13
1075,OTHER,2021-12-13
1076,OTHER,2021-12-13
1077,OTHER,2021-12-13
1078,OTHER,2021-12-13
1079,OTHER,2021-12-13
1080,OTHER,2021-12-13
1081,OTHER,2021-12-13
1082,OTHER,2021-12-13
1083,EXCAVATING,2021-12-13
1084,OTHER,2021-12-13
1085,OTHER,2021-12-13
1086,OTHER,2021-12-13
1087,OTHER,2021-12-13
1088,EXCAVATING,2021-12-13
1089,OTHER,2021-12-13
1091,EXCAVATING,2021-12-13
1092,OTHER,2021-12-13
1093,OTHER,2021-12-13
1094,OTHER,2021-12-13
1095,OTHER,2021-12-13
1096,EXCAVATING,2021-12-13
1097,OTHER,2021-12-13
1098,OTHER,2021-12-13
1099,OTHER,2021-12-13
1100,OTHER,2021-12-13
1101,EXCAVATING,2021-12-13
1102,EXCAVATING,2021-12-13
1103,OTHER,2021-12-13
1104,OTHER,2021-12-13
1105,OTHER,2021-12-13
1106,OTHER,2021-12-13
1107,OTHER,2021-12-13
1108,OTHER,2021-12-13
1109,OTHER,2021-12-13
1110,EXCAVATING,2021-12-13
1111,OTHER,2021-12-13
1112,OTHER,2021-12-13
1113,OTHER,2021-12-13
1114,OTHER,2021-12-13
1115,OTHER,2021-12-13
1116,OTHER,2021-12-13
1117,OTHER,2021-12-13
