well_tag_number,drilling_method_code,date_added
1,CABLE_TOOL,2021-12-13
2,OTHER,2021-12-13
3,OTHER,2021-12-13
5,AIR_ROTARY,2021-12-13
6,DUO_ROTARY,2021-12-13
7,OTHER,2021-12-13
8,EXCAVATING,2021-12-13
9,OTHER,2021-12-13
10,OTHER,2021-12-13
11,OTHER,2021-12-13
12,OTHER,2021-12-13
13,OTHER,2021-12-13
14,OTHER,2021-12-13
15,UNK,2021-12-13
16,OTHER,2021-12-13
17,OTHER,2021-12-13
18,OTHER,2021-12-13
19,EXCAVATING,2021-12-13
20,OTHER,2021-12-13
21,AIR_ROTARY,2021-12-13
22,OTHER,2021-12-13
23,OTHER,2021-12-13
24,OTHER,2021-12-13
25,EXCAVATING,2021-12-13
26,OTHER,2021-12-13
27,OTHER,2021-12-13
28,OTHER,2021-12-13
29,OTHER,2021-12-13
30,UNK,2021-12-13
31,OTHER,2021-12-13
32,OTHER,2021-12-13
34,OTHER,2021-12-13
35,EXCAVATING,2021-12-13
36,OTHER,2021-12-13
38,OTHER,2021-12-13
39,OTHER,2021-12-13
40,OTHER,2021-12-13
41,OTHER,2021-12-13
42,OTHER,2021-12-13
43,OTHER,2021-12-13
44,OTHER,2021-12-13
45,OTHER,2021-12-13
46,OTHER,2021-12-13
47,EXCAVATING,2021-12-13
48,OTHER,2021-12-13
49,EXCAVATING,2021-12-13
50,OTHER,2021-12-13
51,OTHER,2021-12-13
54,OTHER,2021-12-13
55,UNK,2021-12-13
60,OTHER,2021-12-13
61,OTHER,2021-12-13
63,OTHER,2021-12-13
64,OTHER,2021-12-13
65,OTHER,2021-12-13
66,OTHER,2021-12-13
67,OTHER,2021-12-13
68,OTHER,2021-12-13
69,OTHER,2021-12-13
71,UNK,2021-12-13
72,OTHER,2021-12-13
73,OTHER,2021-12-13
74,OTHER,2021-12-13
75,OTHER,2021-12-13
76,OTHER,2021-12-13
77,OTHER,2021-12-13
78,OTHER,2021-12-13
79,OTHER,2021-12-13
80,OTHER,2021-12-13
81,OTHER,2021-12-13
82,OTHER,2021-12-13
84,OTHER,2021-12-13
85,OTHER,2021-12-13
86,OTHER,2021-12-13
87,UNK,2021-12-13
89,OTHER,2021-12-13
90,OTHER,2021-12-13
91,OTHER,2021-12-13
92,OTHER,2021-12-13
95,OTHER,2021-12-13
96,OTHER,2021-12-13
98,OTHER,2021-12-13
99,OTHER,2021-12-13
100,OTHER,2021-12-13
101,OTHER,2021-12-13
102,OTHER,2021-12-13
103,OTHER,2021-12-13
104,OTHER,2021-12-13
105,OTHER,2021-12-13
106,OTHER,2021-12-13
